epiweek,time_value,issue,geo_type,geo_value,week,weekorder,sarscov2_tests,sarscov2_positive_tests,flu_tests,flu_positive_tests,fluah1n1pdm09_positive_tests,fluah3_positive_tests,fluauns_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv1_positive_tests,hpiv2_positive_tests,hpiv3_positive_tests,hpiv4_positive_tests,hpivother_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,evrv_tests,evrv_positive_tests,hcov_tests,hcov_positive_tests,year
202435,2024-08-31,2025-02-20,province,nl,35,1,523,69,413,0,0,0,0,0,0,413,0,413,2,0,1,3,0,413,9,413,1,413,28,413,2,2024
202435,2024-08-31,2025-02-20,province,pe,35,1,139,22,41,0,0,0,0,0,0,41,1,20,1,0,1,0,0,20,0,20,0,20,7,20,0,2024
202435,2024-08-31,2025-02-20,province,ns,35,1,1198,247,1143,2,0,0,1,1,1,1047,0,44,0,0,0,0,0,44,0,44,0,44,10,44,0,2024
202435,2024-08-31,2025-02-20,province,nb,35,1,1073,180,645,0,0,0,0,0,0,645,1,99,0,0,0,0,0,99,1,99,0,99,12,99,1,2024
202435,2024-08-31,2025-02-20,region,atlantic,35,1,2933,518,2242,2,0,0,1,1,1,2146,2,576,3,0,2,3,0,576,10,576,1,576,57,576,3,2024
202435,2024-08-31,2025-02-20,lab,région nord est,35,1,1271,235,1060,0,0,0,0,0,0,465,0,132,0,0,2,0,0,132,1,121,2,132,21,132,1,2024
202435,2024-08-31,2025-02-20,lab,québec chaudière appalaches,35,1,1512,288,1109,3,0,0,2,2,1,1109,11,513,3,0,0,2,0,530,13,515,8,546,77,456,10,2024
202435,2024-08-31,2025-02-20,lab,centre du québec,35,1,2178,570,694,0,0,0,0,0,0,476,5,29,0,0,0,0,0,29,0,29,0,29,5,30,1,2024
202435,2024-08-31,2025-02-20,lab,montréal laval,35,1,1882,424,1401,3,0,0,2,2,1,1268,26,746,4,6,4,4,0,746,6,747,1,773,70,746,4,2024
202435,2024-08-31,2025-02-20,lab,ouest du québec,35,1,1262,319,650,2,0,0,2,2,0,650,10,28,1,0,0,0,0,28,1,28,0,28,10,28,0,2024
