Category,Indicator name,Description,Definition (US),Definition (global),US item,Global item,US indicator start,US indicator end,Global indicator start,Global indicator end
Behaviors,wearing_mask_5d,Percentage of people who wore a mask most or all of the time while in public in the past 5 days,(C14 == 'most of the time' | C14 == 'all of the time') / any C14 response,NA,C14,NA,2020-09-06,2021-02-20,NA,NA
Behaviors,wearing_mask_7d,Percentage of people who wore a mask most or all of the time while in public in the past 7 days,(C14a == 'most of the time' | C14a == 'all of the time') / any C14a response,(C5 == 'most of the time' | C5 == 'all of the time') / any C5 response,C14a,C5,2021-02-07,2022-06-25,2020-04-26,2022-06-25
CLI/ILI,cli,Percentage with COVID-like illness,B2 == 'fever' & (B2 == 'cough' | B2 == 'shortness of breath' | B2 == 'difficulty breathing' / any response to B2,B1 == 'fever' AND (B1 == 'cough' | B1 == 'shortness of breath' | B1 == 'difficulty breathing' / any response to B1,B2,B1,2020-04-05,2022-06-25,2020-04-26,2022-06-25
CLI/ILI,ili,Percentage with influenza-like illness,B2 == 'fever' & (B2 == 'cough' | B2 == 'sore throat') / any response to B2,B1 == 'fever' & (B1 == 'cough' | B1 == 'sore throat') / any response to B1,B2,B1,2020-04-05,2022-06-25,2020-04-26,2022-06-25
CLI/ILI,hh_cmnty_cli,Percentage of people reporting illness in their local community including their household,https://cmu-delphi.github.io/delphi-epidata/api/covidcast-signals/fb-survey.html#estimating-community-cli,NA,"A1, A4",NA,2020-04-12,2022-06-25,NA,NA
CLI/ILI,nohh_cmnty_cli,"Percentage of people reporting illness in their local community, not including their household",https://cmu-delphi.github.io/delphi-epidata/api/covidcast-signals/fb-survey.html#estimating-community-cli,NA,A4,NA,2020-04-12,2022-06-25,NA,NA
Contact,direct_contact,Percentage of respondents that have reported having had direct contact with people not staying with them.,"respondent = someone who answered any of the four contact types

# (responses to at least one contact type > 0) / # (responses to at least one contact type)",C1_m == 'yes' / any response to C1_m,C10,C1_m,2020-04-05,2021-08-07,2020-04-26,2021-09-04
Symptoms,anosmia,Percentage of respondents experiencing anosmia,NA,B1_10 == 'yes' / any response to B1,NA,B1,NA,NA,2020-04-26,2022-06-25
Vaccines,vaccinated,Percentage vaccinated,V1 == 'yes' / any response to V1,V1 == 'yes' / any response to V1,V1,V1,2021-01-03,2022-06-25,2021-01-10,2022-06-25
Vaccines,received_2_vaccine_doses,Percentage receiving two doses,V2 == '2 doses' / any response to V2,V2 == '2 doses' / any response to V2,V2,V2,2021-01-10,2021-11-13,2021-01-10,2022-02-19
Vaccines,accept_vaccine,Percentage who would definitely or probably choose to get vaccinated,"(V3 == 'yes, definitely' | V3 == 'yes, probably') / any response to V3","(V3 == 'yes, definitely' | V3 == 'yes, probably') / any response to V3",V3,V3,2021-01-03,2021-08-07,2021-01-10,2021-09-04
Vaccines,hesitant_vaccine,Percentage who would definitely or probably NOT choose to get vaccinated,"(V3 == 'no, definitely not' | V3 == 'no, probably not') / any response to V3","(V3|V3a == 'no, definitely not' | V3|V3a == 'no, probably not') / any response to V3|V3a",V3,V3|V3a,2021-01-03,2022-06-25,2021-01-10,2022-06-25
